company_name,industry,symbol,Series,isin,index_code,scrape_date
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,NIFTYNEXT50,2026-02-03
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,NIFTYNEXT50,2026-02-03
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,NIFTYNEXT50,2026-02-03
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,NIFTYNEXT50,2026-02-03
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,NIFTYNEXT50,2026-02-03
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,NIFTYNEXT50,2026-02-03
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,NIFTYNEXT50,2026-02-03
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,NIFTYNEXT50,2026-02-03
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,NIFTYNEXT50,2026-02-03
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,NIFTYNEXT50,2026-02-03
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,NIFTYNEXT50,2026-02-03
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,NIFTYNEXT50,2026-02-03
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,NIFTYNEXT50,2026-02-03
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,NIFTYNEXT50,2026-02-03
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,NIFTYNEXT50,2026-02-03
DLF Ltd.,Realty,DLF,EQ,INE271C01023,NIFTYNEXT50,2026-02-03
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,NIFTYNEXT50,2026-02-03
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,NIFTYNEXT50,2026-02-03
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,NIFTYNEXT50,2026-02-03
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,NIFTYNEXT50,2026-02-03
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,NIFTYNEXT50,2026-02-03
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,NIFTYNEXT50,2026-02-03
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,NIFTYNEXT50,2026-02-03
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,NIFTYNEXT50,2026-02-03
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,NIFTYNEXT50,2026-02-03
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,NIFTYNEXT50,2026-02-03
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,NIFTYNEXT50,2026-02-03
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,NIFTYNEXT50,2026-02-03
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,NIFTYNEXT50,2026-02-03
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,NIFTYNEXT50,2026-02-03
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,NIFTYNEXT50,2026-02-03
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,NIFTYNEXT50,2026-02-03
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,NIFTYNEXT50,2026-02-03
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,NIFTYNEXT50,2026-02-03
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,NIFTYNEXT50,2026-02-03
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,NIFTYNEXT50,2026-02-03
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,NIFTYNEXT50,2026-02-03
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,NIFTYNEXT50,2026-02-03
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,NIFTYNEXT50,2026-02-03
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,NIFTYNEXT50,2026-02-03
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,NIFTYNEXT50,2026-02-03
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,NIFTYNEXT50,2026-02-03
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,NIFTYNEXT50,2026-02-03
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,NIFTYNEXT50,2026-02-03
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,NIFTYNEXT50,2026-02-03
